The data obtained from the Suwannee River Water Management District (SRWMD) may be provisional and subject to,,,,,,,,,,,,,,,,,,,
"revision. The SRWMD specifically disclaims any warranty, either expressed or implied, including but not limited to the",,,,,,,,,,,,,,,,,,,
the implied warranties of merchantability and fitness for a particular use. The entire risk as to quality and performance,,,,,,,,,,,,,,,,,,,
"is with the user. In no event will the SRWMD be liable for any direct, indirect, incidental, special, consequential,  or",,,,,,,,,,,,,,,,,,,
SRWMD,02322350,Mean,06/09/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/10/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/11/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/12/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/13/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/14/2019,0,Provisional,0,Provisional,0,Provisional,0,Provisional,0,Provisional,,,0,Provisional,0,Provisional
SRWMD,02322350,Mean,06/15/2019,0,Provisional,0,Provisional,0,Provisional,0,Provisional,0,Provisional,,,0,Provisional,0,Provisional
SRWMD,02322350,Mean,06/16/2019,0,Provisional,0,Provisional,0,Provisional,0,Provisional,0,Provisional,,,0,Provisional,0,Provisional
SRWMD,02322350,Mean,06/17/2019,0,Provisional,0,Provisional,0,Provisional,0,Provisional,0,Provisional,,,0,Provisional,0,Provisional
SRWMD,02322350,Mean,06/18/2019,0,Provisional,0,Provisional,0,Provisional,0,Provisional,0,Provisional,,,0,Provisional,0,Provisional
SRWMD,02322350,Mean,06/19/2019,0,Provisional,0,Provisional,0,Provisional,0,Provisional,0,Provisional,,,0,Provisional,0,Provisional
SRWMD,02322350,Mean,06/20/2019,13.77,Provisional,224.1,Provisional,4.464,Provisional,3.15292,Provisional,36.66,Provisional,0,Missing Data,1.67,Provisional,-0.50833,Provisional
SRWMD,02322350,Mean,06/21/2019,22.72,Provisional,397,Provisional,7.37,Provisional,4.94062,Provisional,57.33208,Provisional,2.65917,Provisional,165.31,Provisional,-0.75542,Provisional
SRWMD,02322350,Mean,06/22/2019,22.72,Provisional,394.4,Provisional,7.368,Provisional,4.95083,Provisional,57.45583,Provisional,2.65583,Provisional,267.62,Provisional,-0.6275,Provisional
SRWMD,02322350,Mean,06/23/2019,22.72,Provisional,391.2,Provisional,7.362,Provisional,4.93479,Provisional,57.29375,Provisional,2.65437,Provisional,169.09,Provisional,-0.63542,Provisional
SRWMD,02322350,Mean,06/24/2019,22.73,Provisional,394.6,Provisional,7.373,Provisional,4.96333,Provisional,57.63,Provisional,2.65208,Provisional,85.91,Provisional,-0.58375,Provisional
SRWMD,02322350,Mean,06/25/2019,22.72,Provisional,395.1,Provisional,7.374,Provisional,4.97354,Provisional,57.74125,Provisional,2.65,Provisional,52.57,Provisional,-0.61,Provisional
SRWMD,02322350,Mean,06/26/2019,22.72,Provisional,394.9,Provisional,7.379,Provisional,4.97396,Provisional,57.72771,Provisional,2.64958,Provisional,32.28,Provisional,-0.63833,Provisional
SRWMD,02322350,Mean,06/27/2019,22.71,Provisional,394.5,Provisional,7.379,Provisional,4.98125,Provisional,57.81917,Provisional,2.64917,Provisional,34.51,Provisional,-0.60146,Provisional
SRWMD,02322350,Mean,06/28/2019,22.7,Provisional,393,Provisional,7.386,Provisional,4.97021,Provisional,57.68167,Provisional,2.64667,Provisional,0,Missing Data,-0.62229,Provisional
SRWMD,02322350,Mean,06/29/2019,22.7,Provisional,392.2,Provisional,7.394,Provisional,4.97437,Provisional,57.72104,Provisional,2.64875,Provisional,0,Missing Data,-0.59917,Provisional
SRWMD,02322350,Mean,06/30/2019,22.69,Provisional,389.9,Provisional,7.401,Provisional,4.98083,Provisional,57.79333,Provisional,2.64833,Provisional,303.11,Provisional,-0.58208,Provisional
SRWMD,02322350,Mean,07/01/2019,22.71,Provisional,387.3,Provisional,7.405,Provisional,4.97167,Provisional,57.685,Provisional,2.64646,Provisional,242.96,Provisional,-0.68521,Provisional
SRWMD,02322350,Mean,07/02/2019,22.71,Provisional,380.4,Provisional,7.413,Provisional,4.98,Provisional,57.80042,Provisional,2.64396,Provisional,120.31,Provisional,-0.86167,Provisional
SRWMD,02322350,Mean,07/03/2019,22.72,Provisional,386.1,Provisional,7.419,Provisional,4.98437,Provisional,57.87292,Provisional,2.64271,Provisional,76.3,Provisional,-0.54313,Provisional
SRWMD,02322350,Mean,07/04/2019,22.71,Provisional,387.1,Provisional,7.426,Provisional,4.97604,Provisional,57.73521,Provisional,2.64125,Provisional,73.51,Provisional,-0.56708,Provisional
SRWMD,02322350,Mean,07/05/2019,22.65,Provisional,389.2,Provisional,7.441,Provisional,4.995,Provisional,57.91062,Provisional,2.63417,Provisional,160.16,Provisional,-0.67438,Provisional
SRWMD,02322350,Mean,07/06/2019,22.68,Provisional,390.9,Provisional,7.446,Provisional,5.00042,Provisional,58.00104,Provisional,2.64,Provisional,91.88,Provisional,-0.59583,Provisional
SRWMD,02322350,Mean,07/07/2019,22.69,Provisional,388.9,Provisional,7.451,Provisional,4.97062,Provisional,57.66375,Provisional,2.64083,Provisional,0,Missing Data,-0.54813,Provisional
SRWMD,02322350,Mean,07/08/2019,22.72,Provisional,385.3,Provisional,7.46,Provisional,4.99396,Provisional,57.97333,Provisional,2.64,Provisional,0,Missing Data,-0.51146,Provisional
SRWMD,02322350,Mean,07/09/2019,22.7,Provisional,380.6,Provisional,7.463,Provisional,4.99562,Provisional,57.96396,Provisional,2.63917,Provisional,0,Missing Data,-0.50146,Provisional
SRWMD,02322350,Mean,07/10/2019,22.7,Provisional,376.3,Provisional,7.471,Provisional,5.00375,Provisional,58.0525,Provisional,2.63625,Provisional,0,Missing Data,-0.48771,Provisional
SRWMD,02322350,Mean,07/11/2019,22.68,Provisional,371.4,Provisional,7.475,Provisional,4.97229,Provisional,57.65729,Provisional,2.63542,Provisional,0,Missing Data,-0.50833,Provisional
SRWMD,02322350,Mean,07/12/2019,22.67,Provisional,370.7,Provisional,7.482,Provisional,4.96146,Provisional,57.53667,Provisional,2.63833,Provisional,0,Missing Data,-0.49229,Provisional
SRWMD,02322350,Mean,07/13/2019,22.7,Provisional,373.4,Provisional,7.487,Provisional,5.00375,Provisional,58.05812,Provisional,2.63729,Provisional,0,Missing Data,-0.22792,Provisional
SRWMD,02322350,Mean,07/14/2019,22.71,Provisional,381.6,Provisional,7.491,Provisional,5.00083,Provisional,58.03542,Provisional,2.63396,Provisional,0,Missing Data,-0.50771,Provisional
SRWMD,02322350,Mean,07/15/2019,22.72,Provisional,390.8,Provisional,7.492,Provisional,4.99,Provisional,57.93354,Provisional,2.63458,Provisional,0,Missing Data,-0.49479,Provisional
SRWMD,02322350,Mean,07/16/2019,22.71,Provisional,393.4,Provisional,7.495,Provisional,4.9925,Provisional,57.92896,Provisional,2.635,Provisional,0,Missing Data,-0.44875,Provisional
SRWMD,02322350,Mean,07/17/2019,22.68,Provisional,391.7,Provisional,7.5,Provisional,4.96562,Provisional,57.59542,Provisional,2.63396,Provisional,0,Missing Data,-0.77313,Provisional
SRWMD,02322350,Mean,07/18/2019,22.7,Provisional,386.3,Provisional,7.506,Provisional,5.02,Provisional,58.24896,Provisional,2.63354,Provisional,0,Missing Data,-0.63417,Provisional
SRWMD,02322350,Mean,07/19/2019,22.67,Provisional,377.6,Provisional,7.513,Provisional,4.97937,Provisional,57.74312,Provisional,2.63167,Provisional,56.12,Provisional,-0.67729,Provisional
SRWMD,02322350,Mean,07/20/2019,22.69,Provisional,360.6,Provisional,7.514,Provisional,4.98812,Provisional,57.85104,Provisional,2.63313,Provisional,15.39,Provisional,-0.52,Provisional
SRWMD,02322350,Mean,07/21/2019,22.67,Provisional,351.2,Provisional,7.516,Provisional,4.99271,Provisional,57.89021,Provisional,2.62708,Provisional,53.13,Provisional,-0.48063,Provisional
SRWMD,02322350,Mean,07/22/2019,22.69,Provisional,358,Provisional,7.523,Provisional,5.03271,Provisional,58.37104,Provisional,2.62563,Provisional,0,Missing Data,-0.4625,Provisional
SRWMD,02322350,Mean,07/23/2019,22.68,Provisional,364.1,Provisional,7.525,Provisional,4.98625,Provisional,57.83604,Provisional,2.625,Provisional,9.47,Provisional,-0.43438,Provisional
SRWMD,02322350,Mean,07/24/2019,22.64,Provisional,368.7,Provisional,7.529,Provisional,4.97104,Provisional,57.62042,Provisional,2.61917,Provisional,25.01,Provisional,-0.57438,Provisional
SRWMD,02322350,Mean,07/25/2019,22.65,Provisional,369.3,Provisional,7.537,Provisional,4.99375,Provisional,57.88792,Provisional,2.62333,Provisional,9.85,Provisional,-0.5325,Provisional
SRWMD,02322350,Mean,07/26/2019,22.65,Provisional,368,Provisional,7.535,Provisional,4.96333,Provisional,57.53604,Provisional,2.62229,Provisional,0,Missing Data,-0.47208,Provisional
SRWMD,02322350,Mean,07/27/2019,22.69,Provisional,366.1,Provisional,7.533,Provisional,4.95187,Provisional,57.44708,Provisional,2.62292,Provisional,50.08,Provisional,-0.41458,Provisional
SRWMD,02322350,Mean,07/28/2019,22.69,Provisional,363.5,Provisional,7.53,Provisional,4.92792,Provisional,57.14979,Provisional,2.61708,Provisional,27.04,Provisional,-0.46938,Provisional
SRWMD,02322350,Mean,07/29/2019,22.71,Provisional,363.4,Provisional,7.531,Provisional,4.90396,Provisional,56.90542,Provisional,2.61042,Provisional,23.85,Provisional,-0.51083,Provisional
SRWMD,02322350,Mean,07/30/2019,22.71,Provisional,363.5,Provisional,7.532,Provisional,4.90229,Provisional,56.89604,Provisional,2.60917,Provisional,27.58,Provisional,-0.53229,Provisional
SRWMD,02322350,Mean,07/31/2019,22.69,Provisional,363,Provisional,7.53,Provisional,4.89042,Provisional,56.72312,Provisional,2.60375,Provisional,17.68,Provisional,-0.62583,Provisional
SRWMD,02322350,Mean,08/01/2019,22.68,Provisional,362.4,Provisional,7.532,Provisional,4.915,Provisional,57.00417,Provisional,2.60479,Provisional,17.13,Provisional,-0.63208,Provisional
SRWMD,02322350,Mean,08/02/2019,22.68,Provisional,361,Provisional,7.536,Provisional,4.92458,Provisional,57.12187,Provisional,2.60437,Provisional,25.76,Provisional,-0.51146,Provisional
SRWMD,02322350,Mean,08/03/2019,22.7,Provisional,360.3,Provisional,7.54,Provisional,4.91042,Provisional,56.97167,Provisional,2.60729,Provisional,22.24,Provisional,-0.49021,Provisional
SRWMD,02322350,Mean,08/04/2019,22.69,Provisional,359.9,Provisional,7.547,Provisional,4.9125,Provisional,56.99583,Provisional,2.61042,Provisional,78.83,Provisional,-0.28021,Provisional
SRWMD,02322350,Mean,08/05/2019,22.67,Provisional,358.8,Provisional,7.549,Provisional,4.93958,Provisional,57.28083,Provisional,2.60979,Provisional,47.4,Provisional,-0.13854,Provisional
SRWMD,02322350,Mean,08/06/2019,22.7,Provisional,359.2,Provisional,7.554,Provisional,4.95792,Provisional,57.52375,Provisional,2.60729,Provisional,44.05,Provisional,-0.30813,Provisional
SRWMD,02322350,Mean,08/07/2019,22.68,Provisional,361.1,Provisional,7.554,Provisional,4.95042,Provisional,57.41875,Provisional,2.60729,Provisional,25.56,Provisional,-0.33396,Provisional
SRWMD,02322350,Mean,08/08/2019,13.71,Provisional,360.8,Provisional,7.566,Provisional,5.085,Provisional,59.02312,Provisional,2.60417,Provisional,34.39,Provisional,-0.14167,Provisional
SRWMD,02322350,Mean,08/09/2019,0,Provisional,358.4,Provisional,7.58,Provisional,5.24,Provisional,60.86,Provisional,2.60958,Provisional,35.3,Provisional,-0.23,Provisional
SRWMD,02322350,Mean,08/10/2019,0,Provisional,358.4,Provisional,7.58,Provisional,5.24,Provisional,60.86,Provisional,2.61125,Provisional,35.3,Provisional,-0.23,Provisional
SRWMD,02322350,Mean,08/11/2019,7.08,Provisional,361.9,Provisional,7.573,Provisional,5.14292,Provisional,59.69979,Provisional,2.61167,Provisional,26.04,Provisional,-0.27271,Provisional
SRWMD,02322350,Mean,08/12/2019,22.73,Provisional,371.4,Provisional,7.563,Provisional,5.02021,Provisional,58.28187,Provisional,2.59646,Provisional,4.76,Provisional,0.21437,Provisional
SRWMD,02322350,Mean,08/13/2019,22.72,Provisional,373.8,Provisional,7.559,Provisional,4.97917,Provisional,57.80208,Provisional,2.60312,Provisional,6.67,Provisional,-0.69979,Provisional
SRWMD,02322350,Mean,08/14/2019,22.94,Provisional,371.5,Provisional,7.388,Provisional,4.95604,Provisional,57.92167,Provisional,2.49737,Provisional,2.85,Provisional,-0.88542,Provisional
SRWMD,02322350,Mean,08/15/2019,22.64,Provisional,398.6,Provisional,7.383,Provisional,4.66583,Provisional,54.07687,Provisional,2.6025,Provisional,-0.01,Provisional,-1.80729,Provisional
SRWMD,02322350,Mean,08/16/2019,22.64,Provisional,397.9,Provisional,7.396,Provisional,4.67083,Provisional,54.13125,Provisional,2.60896,Provisional,0.18,Provisional,-1.60458,Provisional
SRWMD,02322350,Mean,08/17/2019,22.64,Provisional,397.2,Provisional,7.396,Provisional,4.69208,Provisional,54.38208,Provisional,2.57917,Provisional,0.15,Provisional,0.53625,Provisional
SRWMD,02322350,Mean,08/18/2019,22.65,Provisional,396.1,Provisional,7.404,Provisional,4.67271,Provisional,54.16479,Provisional,2.59646,Provisional,1.53,Provisional,-1.74813,Provisional
SRWMD,02322350,Mean,08/19/2019,22.68,Provisional,396,Provisional,7.406,Provisional,4.65458,Provisional,53.98458,Provisional,2.58187,Provisional,0.18,Provisional,-1.65354,Provisional
SRWMD,02322350,Mean,08/20/2019,22.73,Provisional,395.6,Provisional,7.412,Provisional,4.6225,Provisional,53.6675,Provisional,2.55167,Provisional,0.37,Provisional,-1.66938,Provisional
SRWMD,02322350,Mean,08/21/2019,22.76,Provisional,395.6,Provisional,7.409,Provisional,4.60875,Provisional,53.55187,Provisional,2.54604,Provisional,0.56,Provisional,-1.72958,Provisional
SRWMD,02322350,Mean,08/22/2019,22.77,Provisional,395.5,Provisional,7.409,Provisional,4.60687,Provisional,53.53562,Provisional,2.54271,Provisional,0.29,Provisional,-1.71708,Provisional
SRWMD,02322350,Mean,08/23/2019,22.76,Provisional,394.8,Provisional,7.417,Provisional,4.60562,Provisional,53.51333,Provisional,2.54146,Provisional,0.38,Provisional,-1.67833,Provisional
SRWMD,02322350,Mean,08/24/2019,22.75,Provisional,392.2,Provisional,7.417,Provisional,4.60854,Provisional,53.52521,Provisional,2.54896,Provisional,0.89,Provisional,-1.61,Provisional
SRWMD,02322350,Mean,08/25/2019,22.72,Provisional,388.6,Provisional,7.411,Provisional,4.62042,Provisional,53.64417,Provisional,2.54937,Provisional,0.98,Provisional,-1.6125,Provisional
SRWMD,02322350,Mean,08/26/2019,22.7,Provisional,386.7,Provisional,7.412,Provisional,4.63458,Provisional,53.76792,Provisional,2.55437,Provisional,4.36,Provisional,-1.51917,Provisional
SRWMD,02322350,Mean,08/27/2019,22.67,Provisional,385.7,Provisional,7.404,Provisional,4.63042,Provisional,53.69125,Provisional,2.56437,Provisional,1.4,Provisional,-1.59458,Provisional
SRWMD,02322350,Mean,08/28/2019,22.69,Provisional,384.7,Provisional,7.407,Provisional,4.66792,Provisional,54.1575,Provisional,2.5675,Provisional,0.56,Provisional,-1.43521,Provisional
SRWMD,02322350,Mean,08/29/2019,22.69,Provisional,384.6,Provisional,7.403,Provisional,4.68125,Provisional,54.29937,Provisional,2.57,Provisional,0.4,Provisional,-1.31958,Provisional
SRWMD,02322350,Mean,08/30/2019,22.67,Provisional,384.7,Provisional,7.403,Provisional,4.70812,Provisional,54.58979,Provisional,2.57437,Provisional,0.32,Provisional,-1.22021,Provisional
SRWMD,02322350,Mean,08/31/2019,22.7,Provisional,381.8,Provisional,7.4,Provisional,4.72146,Provisional,54.78042,Provisional,2.55125,Provisional,2.41,Provisional,-0.08458,Provisional
SRWMD,02322350,Mean,09/01/2019,22.68,Provisional,381.5,Provisional,7.399,Provisional,4.69062,Provisional,54.40083,Provisional,2.57708,Provisional,0.61,Provisional,-1.50229,Provisional
SRWMD,02322350,Mean,09/02/2019,22.67,Provisional,381.3,Provisional,7.399,Provisional,4.71187,Provisional,54.64937,Provisional,2.58042,Provisional,1.09,Provisional,-1.23792,Provisional
SRWMD,02322350,Mean,09/03/2019,22.66,Provisional,381.2,Provisional,7.403,Provisional,4.72625,Provisional,54.80146,Provisional,2.58271,Provisional,0.16,Provisional,-1.26625,Provisional
SRWMD,02322350,Mean,09/04/2019,22.66,Provisional,381.7,Provisional,7.402,Provisional,4.75042,Provisional,55.06208,Provisional,2.58458,Provisional,0,Provisional,-1.09083,Provisional
SRWMD,02322350,Mean,09/05/2019,22.67,Provisional,381.4,Provisional,7.402,Provisional,4.75229,Provisional,55.11437,Provisional,2.58687,Provisional,0.02,Provisional,-0.97979,Provisional
SRWMD,02322350,Mean,09/06/2019,22.67,Provisional,380.6,Provisional,7.406,Provisional,4.75354,Provisional,55.12458,Provisional,2.59062,Provisional,0.13,Provisional,-0.90729,Provisional
SRWMD,02322350,Mean,09/07/2019,22.66,Provisional,377.8,Provisional,7.407,Provisional,4.75583,Provisional,55.14646,Provisional,2.59208,Provisional,2.77,Provisional,-0.89208,Provisional
SRWMD,02322350,Mean,09/08/2019,22.66,Provisional,377.1,Provisional,7.4,Provisional,4.77167,Provisional,55.32708,Provisional,2.59667,Provisional,0.99,Provisional,-0.8975,Provisional
SRWMD,02322350,Mean,09/09/2019,22.66,Provisional,381.4,Provisional,7.394,Provisional,4.78708,Provisional,55.50229,Provisional,2.59958,Provisional,0.03,Provisional,-0.85625,Provisional
SRWMD,02322350,Mean,09/10/2019,22.67,Provisional,381.6,Provisional,7.401,Provisional,4.79396,Provisional,55.59292,Provisional,2.60354,Provisional,0.07,Provisional,-0.825,Provisional
SRWMD,02322350,Mean,09/11/2019,22.65,Provisional,380.9,Provisional,7.406,Provisional,4.80729,Provisional,55.725,Provisional,2.60437,Provisional,0.03,Provisional,-0.77021,Provisional
SRWMD,02322350,Mean,09/12/2019,22.66,Provisional,381.2,Provisional,7.41,Provisional,4.81375,Provisional,55.80833,Provisional,2.60833,Provisional,0.04,Provisional,-0.76979,Provisional
SRWMD,02322350,Mean,09/13/2019,22.64,Provisional,380.6,Provisional,7.411,Provisional,4.82,Provisional,55.86667,Provisional,2.61,Provisional,0.05,Provisional,-0.91542,Provisional
SRWMD,02322350,Mean,09/14/2019,22.66,Provisional,375.1,Provisional,7.415,Provisional,4.80729,Provisional,55.73562,Provisional,2.6125,Provisional,0.52,Provisional,-1.04979,Provisional
SRWMD,02322350,Mean,09/15/2019,22.66,Provisional,366.7,Provisional,7.419,Provisional,4.81542,Provisional,55.83667,Provisional,2.61542,Provisional,3.93,Provisional,-0.87479,Provisional
SRWMD,02322350,Mean,09/16/2019,22.65,Provisional,363.4,Provisional,7.422,Provisional,4.82417,Provisional,55.91833,Provisional,2.61979,Provisional,7.48,Provisional,-0.77375,Provisional
SRWMD,02322350,Mean,09/17/2019,22.66,Provisional,363.8,Provisional,7.43,Provisional,4.84062,Provisional,56.10896,Provisional,2.62083,Provisional,0.06,Provisional,-0.71396,Provisional
SRWMD,02322350,Mean,09/18/2019,22.65,Provisional,362.7,Provisional,7.436,Provisional,4.85104,Provisional,56.22458,Provisional,2.62208,Provisional,0.29,Provisional,-0.68813,Provisional
SRWMD,02322350,Mean,09/19/2019,22.65,Provisional,360.3,Provisional,7.441,Provisional,4.86521,Provisional,56.38542,Provisional,2.62146,Provisional,0.13,Provisional,-0.70667,Provisional
SRWMD,02322350,Mean,09/20/2019,22.64,Provisional,358.1,Provisional,7.446,Provisional,4.88292,Provisional,56.58208,Provisional,2.62583,Provisional,0.58,Provisional,-0.71167,Provisional
SRWMD,02322350,Mean,09/21/2019,22.63,Provisional,354.7,Provisional,7.45,Provisional,4.87062,Provisional,56.43437,Provisional,2.62708,Provisional,18.84,Provisional,-0.76792,Provisional
SRWMD,02322350,Mean,09/22/2019,22.63,Provisional,350.4,Provisional,7.45,Provisional,4.86833,Provisional,56.40875,Provisional,2.63187,Provisional,0.49,Provisional,-0.85438,Provisional
SRWMD,02322350,Mean,09/23/2019,22.63,Provisional,348,Provisional,7.454,Provisional,4.88167,Provisional,56.55083,Provisional,2.6325,Provisional,0.32,Provisional,-0.78979,Provisional
SRWMD,02322350,Mean,09/24/2019,22.63,Provisional,346.8,Provisional,7.457,Provisional,4.89271,Provisional,56.68583,Provisional,2.63312,Provisional,0.23,Provisional,-0.75604,Provisional
SRWMD,02322350,Mean,09/25/2019,22.65,Provisional,344.3,Provisional,7.46,Provisional,4.89229,Provisional,56.70521,Provisional,2.63437,Provisional,0.2,Provisional,-0.7675,Provisional
SRWMD,02322350,Mean,09/26/2019,22.66,Provisional,342.6,Provisional,7.461,Provisional,4.88083,Provisional,56.58208,Provisional,2.63708,Provisional,0.25,Provisional,-0.81167,Provisional
SRWMD,02322350,Mean,09/27/2019,22.66,Provisional,341.2,Provisional,7.463,Provisional,4.87979,Provisional,56.58167,Provisional,2.63833,Provisional,0.63,Provisional,-0.91979,Provisional
SRWMD,02322350,Mean,09/28/2019,22.64,Provisional,338.5,Provisional,7.465,Provisional,4.87667,Provisional,56.50208,Provisional,2.64042,Provisional,2.09,Provisional,-0.95188,Provisional
SRWMD,02322350,Mean,09/29/2019,22.64,Provisional,342.3,Provisional,7.465,Provisional,4.8825,Provisional,56.58229,Provisional,2.64042,Provisional,5.4,Provisional,-0.84292,Provisional
SRWMD,02322350,Mean,09/30/2019,22.65,Provisional,362.5,Provisional,7.469,Provisional,4.90542,Provisional,56.85812,Provisional,2.64167,Provisional,0.17,Provisional,-0.71333,Provisional
SRWMD,02322350,Mean,10/01/2019,22.65,Provisional,366.1,Provisional,7.477,Provisional,4.90479,Provisional,56.84,Provisional,2.64271,Provisional,0.3,Provisional,-0.7475,Provisional
SRWMD,02322350,Mean,10/02/2019,22.64,Provisional,366.1,Provisional,7.481,Provisional,4.90854,Provisional,56.88021,Provisional,2.64604,Provisional,-0.01,Provisional,-0.79542,Provisional
SRWMD,02322350,Mean,10/03/2019,22.64,Provisional,366.7,Provisional,7.482,Provisional,4.92333,Provisional,57.06292,Provisional,2.64854,Provisional,-0.01,Provisional,-0.75438,Provisional
SRWMD,02322350,Mean,10/04/2019,22.63,Provisional,367.5,Provisional,7.484,Provisional,4.91312,Provisional,56.93312,Provisional,2.64958,Provisional,0.65,Provisional,-0.74229,Provisional
SRWMD,02322350,Mean,10/05/2019,22.64,Provisional,367.4,Provisional,7.484,Provisional,4.90708,Provisional,56.87354,Provisional,2.65167,Provisional,5.15,Provisional,-0.63938,Provisional
SRWMD,02322350,Mean,10/06/2019,22.63,Provisional,366.5,Provisional,7.493,Provisional,4.91437,Provisional,56.94729,Provisional,2.65146,Provisional,0.88,Provisional,-0.77167,Provisional
SRWMD,02322350,Mean,10/07/2019,22.61,Provisional,366.4,Provisional,7.494,Provisional,4.89,Provisional,56.64146,Provisional,2.65312,Provisional,0.29,Provisional,-0.69625,Provisional
SRWMD,02322350,Mean,10/08/2019,22.63,Provisional,366.5,Provisional,7.494,Provisional,4.9475,Provisional,57.32083,Provisional,2.65396,Provisional,0.15,Provisional,-0.62875,Provisional
SRWMD,02322350,Mean,10/09/2019,22.62,Provisional,366.7,Provisional,7.492,Provisional,4.97458,Provisional,57.62417,Provisional,2.65333,Provisional,0.23,Provisional,-0.67604,Provisional
SRWMD,02322350,Mean,10/10/2019,22.62,Provisional,366.6,Provisional,7.492,Provisional,4.96417,Provisional,57.50354,Provisional,2.655,Provisional,0.04,Provisional,-0.71813,Provisional
SRWMD,02322350,Mean,10/11/2019,22.61,Provisional,366.3,Provisional,7.492,Provisional,4.97792,Provisional,57.65438,Provisional,2.65625,Provisional,2.37,Provisional,-0.87313,Provisional
SRWMD,02322350,Mean,10/12/2019,22.6,Provisional,365.4,Provisional,7.491,Provisional,4.96875,Provisional,57.54875,Provisional,2.65792,Provisional,1.69,Provisional,-0.87625,Provisional
SRWMD,02322350,Mean,10/13/2019,22.62,Provisional,364.1,Provisional,7.481,Provisional,4.94604,Provisional,57.2825,Provisional,2.66167,Provisional,4.38,Provisional,-0.49958,Provisional
SRWMD,02322350,Mean,10/14/2019,22.62,Provisional,362.7,Provisional,7.482,Provisional,4.94583,Provisional,57.28979,Provisional,2.65958,Provisional,9.47,Provisional,-0.58104,Provisional
SRWMD,02322350,Mean,10/15/2019,22.67,Provisional,361.3,Provisional,7.484,Provisional,5.03187,Provisional,58.36292,Provisional,2.66,Provisional,1.31,Provisional,-0.42646,Provisional
SRWMD,02322350,Mean,10/16/2019,22.65,Provisional,360.8,Provisional,7.482,Provisional,4.95594,Provisional,57.47474,Provisional,2.66,Provisional,1.06,Provisional,-0.71313,Provisional
SRWMD,02322350,Mean,10/17/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,10/18/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,10/19/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,10/20/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data
